id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
6635417,Akihabara and YANESEN is near!!!!,Chiyoda Ku,35.70156,139.76818,Entire home/apt,6000,5,172,2019-08-07,2.46,3,268,1
10202998,Just nearby Akihabara and Ueno!!!,Chiyoda Ku,35.7011,139.76801,Entire home/apt,6000,5,132,2019-07-15,1.99,3,237,0
10795042,"Floor rent, complete isolation stay in center TKO",Chiyoda Ku,35.67235,139.76009,Entire home/apt,22700,2,171,2019-12-22,2.45,2,282,0
12440032,Akihabara near 8 person 2 room!!,Chiyoda Ku,35.70203,139.76818,Entire home/apt,11500,5,37,2017-06-06,0.6,3,236,0
15820564,Akihabara  4min/Ueno to 4 min /１F,Chiyoda Ku,35.70048,139.77653,Private room,16504,50,95,2020-01-18,1.66,16,365,0
20528100,SAKURA GARDEN HOTEL櫻花苑浅草橋（サクラガーデン）秋葉原附近,Chiyoda Ku,35.69629,139.78121,Private room,6000,2,0,,0,1,90,0
22051454,Akihabara 3 Bed Room apartment(EV) 100m2 for 6 pax,Chiyoda Ku,35.70265,139.77181,Entire home/apt,26800,1,1,2018-10-14,0.03,2,0,0
22051510,Akihabara  apartment (EV) 65m2 for 4 pax,Chiyoda Ku,35.70403,139.77169,Entire home/apt,9800,1,0,,0,2,0,0
22961167,Single Small Room　(Breakfast Included),Chiyoda Ku,35.69466,139.75763,Private room,6126,1,15,2019-10-10,0.49,6,206,1
22961329,Family Room (Breakfast Included),Chiyoda Ku,35.69426,139.75719,Private room,10106,1,2,2019-12-18,0.2,6,0,1
22961387,Female Dormitory (Breakfast Included),Chiyoda Ku,35.69426,139.7558,Shared room,3126,1,2,2020-02-06,0.09,6,0,0
22962046,Male Dormitory　（Breakfast Included）,Chiyoda Ku,35.69613,139.75555,Shared room,3126,1,4,2019-09-16,0.13,6,0,0
23906965,"Uhome Kanda Hotel, one stop to Tokyo sta. KD301",Chiyoda Ku,35.69401,139.77238,Entire home/apt,7300,1,87,2020-06-21,2.02,38,4,0
